lat,lon,Record Count
41.995603135,-87.794269296,16
41.89869923,-87.708808424,16
41.86911914,-87.756067704,16
41.972597767,-87.723781966,15
41.92556723,-87.712327602,15
41.797971191,-87.598944513,15
41.988967384,-87.818041831,15
41.929759047,-87.724267094,15
41.769690466,-87.581349509,15
41.827441686,-87.619249758,15
41.906322711,-87.721538294,14
41.9519781,-87.841558069,14
41.870268722,-87.684913926,14
41.8759663,-87.693793902,14
41.702395112,-87.711137668,13
41.926155817,-87.721564501,13
41.912084382,-87.6945983,13
41.855989873,-87.664906886,13
41.855806171,-87.674690588,13
41.949591689,-87.761958275,13
41.827788762,-87.614187029,12
41.988702646,-87.804404812,12
41.855934366,-87.668574537,12
41.907965246,-87.694534282,12
41.942290555,-87.761717721,12
41.956778704,-87.781841991,12
41.911856592,-87.710087322,12
41.813201295,-87.593561288,11
41.899061621,-87.721315898,11
41.827087912,-87.648626816,11
41.942554228,-87.738569226,11
42.005608023,-87.81309813,11
41.838295797,-87.69675634,11
41.768601101,-87.565823879,11
41.90616787,-87.733857019,11
41.841875281,-87.632028593,11
41.891754203,-87.718670795,11
41.955859258,-87.794816994,11
41.797827019,-87.603745765,10
41.949125166,-87.796828047,10
41.964474648,-87.781964023,10
41.83380026,-87.66757156,10
41.764642515,-87.563584812,10
41.942383278,-87.754352834,10
41.84171861,-87.643932494,10
41.855250088,-87.654739492,10
41.926163105,-87.761039875,10
41.934986854,-87.761463375,10
41.684614968,-87.671250353,10
41.769784724,-87.573951955,10
41.934486872,-87.798635953,10
41.826663458,-87.679906706,10
41.915613238,-87.704479575,10
41.816178015,-87.675102059,9
41.942169415,-87.771495526,9
41.92785319,-87.735625949,9
41.805924969,-87.604058625,9
41.922711759,-87.721835793,9
41.714674946,-87.594933092,9
41.934860006,-87.771231925,9
41.830117203,-87.723804133,9
41.935113935,-87.751648958,9
41.789501272,-87.730397152,9
41.920960866,-87.715252818,9
41.796463106,-87.757519865,9
41.925588088,-87.797600684,9
41.857666547,-87.692152661,8
41.933785052,-87.72205233,8
41.862577777,-87.720185176,8
41.776036096,-87.771428091,8
41.935214804,-87.744389613,8
41.81622348,-87.651692953,8
41.660493246,-87.646958132,8
41.911666588,-87.733950998,8
41.842807443,-87.635791217,8
41.915290836,-87.73228692,8
41.935745058,-87.730301758,8
41.803907115,-87.747947899,7
41.776408793,-87.751940269,7
41.820574395,-87.614986476,7
41.820197888,-87.610100105,7
41.795760256,-87.79158835,7
41.935058153,-87.737619998,7
41.816307996,-87.632588521,7
41.942053467,-87.781286562,7
41.745622882,-87.731711853,7
41.68340413,-87.572162863,7
41.841859565,-87.63920165,7
41.919226188,-87.743805656,7
41.920265121,-87.770537764,7
41.948908771,-87.81271083,6
41.972104758,-87.844089888,6
41.826894162,-87.609878598,6
41.804853522,-87.676967754,6
41.755568177,-87.58360729,6
41.834097391,-87.619289519,6
41.789787535,-87.708416729,6
41.898625424,-87.752011562,6
41.743720912,-87.619542924,6
41.788502558,-87.791503464,6
41.876762131,-87.744575567,6
41.895257643,-87.733518051,6
41.941807615,-87.796523776,6
41.803850785,-87.621219989,6
42.002015464,-87.774994789,6
41.813041382,-87.599476602,6
41.768766837,-87.649359803,6
41.878597556,-87.688901948,6
41.787278878,-87.634341781,6
41.835067917,-87.64316237,6
41.769189816,-87.638496916,5
41.742487572,-87.630044895,5
41.797254725,-87.698781345,5
41.905693424,-87.77063256,5
41.878323253,-87.698674017,5
41.827274669,-87.627746472,5
41.782532364,-87.708044416,5
41.814440937,-87.730733454,5
41.697269192,-87.698582054,5
41.919181737,-87.721248555,5
41.8015328,-87.601759821,5
41.777287225,-87.693341249,5
41.688631665,-87.652049255,5
41.832937181,-87.65358342,5
41.751337129,-87.726870174,5
41.906186104,-87.751474332,5
41.806765271,-87.608949278,5
41.760750446,-87.571298655,5
41.695834375,-87.652031202,5
41.885075298,-87.713853381,5
41.74584241,-87.591707772,5
41.758407902,-87.562847384,5
41.949473219,-87.771758223,5
41.695652247,-87.671406498,5
41.868132428,-87.714214708,5
41.728456029,-87.575637131,4
41.88366198,-87.769881551,4
41.923478945,-87.734142469,4
41.689123437,-87.616821638,4
41.87864409,-87.685131831,4
41.792136084,-87.610939349,4
41.790668424,-87.645100485,4
41.796205914,-87.772165794,4
41.799291853,-87.681766818,4
41.927579847,-87.788008819,4
41.783224518,-87.598697371,4
41.788869841,-87.771912186,4
42.015254739,-87.813587865,4
41.783633378,-87.645089635,4
41.726835402,-87.657899292,4
41.791126085,-87.618321622,4
41.699759357,-87.637730426,4
41.754846102,-87.610168586,4
41.941576539,-87.812371663,4
41.911788858,-87.721509703,4
41.768106294,-87.698000804,4
41.720463283,-87.531386257,4
41.768667256,-87.628983314,4
41.77669154,-87.6106933,4
41.776950666,-87.596303211,4
41.725386086,-87.619143357,4
41.856506738,-87.652261296,4
41.861580862,-87.707866342,4
41.927819073,-87.751362692,4
41.741386627,-87.547009864,4
41.801671037,-87.594265698,4
41.81267837,-87.63848803,4
41.740960158,-87.609762143,4
41.87161966,-87.705552633,4
41.766299425,-87.599394474,4
41.804936082,-87.667304257,3
41.761702379,-87.629871745,3
41.782113893,-87.739958858,3
41.76196108,-87.6200147,3
41.764243459,-87.581271017,3
41.786502037,-87.622197341,3
41.663759731,-87.637304085,3
41.729199075,-87.587986491,3
41.735123264,-87.589897232,3
41.919635231,-87.729679134,3
41.949353232,-87.78151908,3
41.702833873,-87.689107024,3
41.875497508,-87.769553332,3
41.748623179,-87.601315178,3
41.74931567,-87.54669533,3
41.980077851,-87.773470927,3
41.747836981,-87.648813119,3
41.827400252,-87.624088952,3
41.884217469,-87.73802976,3
41.805059266,-87.657581715,3
41.739769679,-87.63896448,3
41.813806336,-87.623768046,3
41.762142315,-87.610345837,3
41.731998845,-87.548564529,3
41.876523061,-87.737709469,3
41.74194286,-87.579088816,3
41.855501353,-87.683227168,3
41.735248637,-87.575637348,3
41.773790007,-87.67622826,3
41.713903063,-87.677143472,3
41.819986313,-87.699496697,3
41.731789737,-87.60326551,3
41.761612866,-87.649208828,3
41.884371499,-87.72331972,3
41.862414274,-87.732469638,3
41.813200941,-87.604209222,2
41.717967256,-87.613228634,2
41.797847466,-87.652536397,2
41.9154349,-87.715095542,2
41.804984284,-87.71910651,2
41.87730462,-87.708453004,2
41.915540408,-87.720099356,2
41.794972168,-87.730525118,2
41.744490643,-87.563692594,2
41.927560895,-87.770737328,2
41.911784795,-87.71498899,2
41.898700499,-87.744757519,2
41.807617617,-87.621436144,2
41.782863454,-87.620558342,2
41.999110415,-87.816332353,2
41.912836784,-87.760884371,2
41.810218872,-87.686645821,2
41.79104166,-87.623179577,2
41.814003822,-87.61168488,2
41.826854719,-87.69933652,2
41.849303482,-87.732108134,2
41.805978405,-87.599198985,2
41.934728072,-87.780952919,2
41.920152784,-87.780270163,1
41.907688499,-87.744173184,1
41.790564415,-87.652352518,1
41.905820977,-87.760812989,1
41.739502002,-87.658300394,1
41.775680705,-87.790978576,1
41.753530709,-87.560188995,1
41.853834685,-87.693538797,1
41.840757416,-87.712251918,1
41.899250559,-87.715072698,1
41.808189576,-87.699097173,1
41.790299957,-87.67177,1
41.816264452,-87.718927185,1
41.877243754,-87.713331464,1
41.691632144,-87.693411148,1
41.912073493,-87.69947972,1
41.748210512,-87.610074966,1
41.740585022,-87.669835363,1
41.801822753,-87.632245255,1
41.804771543,-87.649938221,1
41.797605929,-87.676862234,1
41.762165122,-87.590285732,1
41.948641657,-87.827381906,1
41.774814652,-87.739726392,1
41.783596015,-87.698392309,1
41.87622344,-87.717779106,1
41.754679332,-87.61984499,1
41.738228087,-87.711821395,1
41.91292537,-87.7753675,1
41.814562001,-87.699310391,1
41.72866933,-87.60900622,1
41.665167734,-87.535284961,1
41.852676183,-87.705145931,1
41.87705685,-87.727996363,1
41.920126404,-87.760788911,1
41.898425258,-87.770385079,1
41.808511513,-87.61399945,1
41.84083296,-87.707371234,1
41.768180963,-87.612102484,1
41.776699408,-87.666582455,1
41.762246653,-87.732059026,1
41.783459917,-87.593536895,1
41.71061489,-87.650581096,1
41.919825504,-87.737536154,1
41.674039614,-87.651524281,1
41.884272021,-87.733136601,1
